case_id,dataset,trip_id,case_type,gt_frame,alert_frame,prev_identity,new_identity,decision_baseline,decision_memory,coincide_baseline_memory,n_frames_mostrados,note
30,reviewed_07,1066461783391280,FP_MEMORY,,9,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #9,False,280,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
31,reviewed_07,1211281784589360,FP_MEMORY,,12,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #12,False,49,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
32,reviewed_07,1211281784589360,FP_MEMORY,,17,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #17,False,50,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
33,reviewed_07,1250371783101550,FP_MEMORY,,2,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #2,False,62,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
34,reviewed_07,1066431784475760,FP_MEMORY,,3,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #3,False,30,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
35,reviewed_07,1066121784771700,FP_MEMORY,,3,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #3,False,16,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
36,reviewed_07,1065641784300750,FP_MEMORY,,98,,,CAMBIO_CONFIRMADO en frame #100,CAMBIO_CONFIRMADO en frame #98,True,20,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
37,reviewed_07,1062841784741090,FP_MEMORY,,3,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #3,False,28,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
38,reviewed_07,1065911783154940,FP_MEMORY,,20,,,CAMBIO_CONFIRMADO en frame #21,CAMBIO_CONFIRMADO en frame #20,True,100,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
39,reviewed_07,1250401784378620,FP_MEMORY,,2,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #2,False,15,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
40,reviewed_07,1062851783169330,FP_MEMORY,,9,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #9,False,24,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
41,reviewed_07,1214421783813480,FP_MEMORY,,78,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #78,False,9,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
42,reviewed_07,1052671784811920,FP_MEMORY,,59,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #59,False,68,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
43,reviewed_07,1052651784842650,FP_MEMORY,,4,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #4,False,17,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
44,reviewed_07,1211381783360930,FP_MEMORY,,81,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #81,False,25,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
45,reviewed_07,1214371783089590,FP_MEMORY,,2,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #2,False,46,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
46,reviewed_07,1236121784399350,FP_MEMORY,,12,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #12,False,18,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
47,reviewed_07,1236131784367680,FP_MEMORY,,174,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #174,False,18,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
48,reviewed_07,1236131784367680,FP_MEMORY,,176,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #176,False,16,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
49,reviewed_07,1066451784361540,FP_MEMORY,,7,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #7,False,74,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
50,reviewed_07,1214161783549580,FP_MEMORY,,25,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #25,False,73,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
51,reviewed_07,1236121783963340,FP_MEMORY,,3,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #3,False,54,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
52,reviewed_07,1211381783318290,FP_MEMORY,,93,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #93,False,19,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
53,reviewed_07,1211381783318290,FP_MEMORY,,103,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #103,False,19,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
54,reviewed_07,1065681784651550,FP_MEMORY,,2,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #2,False,93,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
55,reviewed_07,1213951783642920,FP_MEMORY,,85,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #85,False,18,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
56,reviewed_07,1214311782940460,FP_MEMORY,,76,,,CAMBIO_CONFIRMADO en frame #68,CAMBIO_CONFIRMADO en frame #76,False,91,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
57,reviewed_07,1211591784630190,FP_MEMORY,,102,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #102,False,35,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
58,reviewed_07,1211591784630190,FP_MEMORY,,104,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #104,False,31,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
59,reviewed_07,1214371784607680,FP_MEMORY,,414,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #414,False,39,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
60,reviewed_07,1214371784607680,FP_MEMORY,,417,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #417,False,42,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
61,random_04,717021775054869,FP_MEMORY,,56,,,CAMBIO_CONFIRMADO en frame #57,CAMBIO_CONFIRMADO en frame #56,True,29,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
62,random_04,717021775054869,FP_MEMORY,,59,,,CAMBIO_CONFIRMADO en frame #57,CAMBIO_CONFIRMADO en frame #59,True,26,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
63,random_04,717021775054869,FP_MEMORY,,85,,,CAMBIO_CONFIRMADO en frame #86,CAMBIO_CONFIRMADO en frame #85,True,30,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
64,random_04,717021775054869,FP_MEMORY,,91,,,CAMBIO_CONFIRMADO en frame #86,CAMBIO_CONFIRMADO en frame #91,True,9,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
65,random_04,1866471775146080,FP_MEMORY,,2,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #2,False,39,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
66,random_04,1867151775185070,FP_MEMORY,,4,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #4,False,71,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
67,random_04,1852761775042780,FP_MEMORY,,64,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #64,False,11,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
68,random_04,1236121775057117,FP_MEMORY,,3,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #3,False,62,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
69,random_04,1509291775178980,FP_MEMORY,,2,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #2,False,16,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
70,random_04,1866731775035702,FP_MEMORY,,6,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #6,False,24,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
71,random_04,1866731775035702,FP_MEMORY,,8,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #8,False,25,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
72,random_04,716671775240518,FP_MEMORY,,54,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #54,False,103,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
73,random_04,1821221776505192,FP_MEMORY,,5,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #5,False,82,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
74,random_04,717111775209843,FP_MEMORY,,10,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #10,False,20,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
75,random_04,1790311775105412,FP_MEMORY,,3,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #3,False,54,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
76,random_04,716971775050171,FP_MEMORY,,13,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #13,False,77,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
77,random_04,1236131775556075,FP_MEMORY,,3,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #3,False,36,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
78,random_04,1618671775021611,FP_MEMORY,,2,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #2,False,17,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
79,random_04,1866611775027769,FP_MEMORY,,2,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #2,False,17,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
80,random_04,1214401775047277,FP_MEMORY,,7,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #7,False,33,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
81,random_04,716561775458958,FP_MEMORY,,62,,,CAMBIO_CONFIRMADO en frame #57,CAMBIO_CONFIRMADO en frame #62,False,60,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
82,random_04,716561775458958,FP_MEMORY,,71,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #71,False,38,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
83,random_04,1866621775112847,FP_MEMORY,,3,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #3,False,174,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
84,random_04,1808801775184559,FP_MEMORY,,5,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #5,False,58,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
85,random_04,966681775121086,FP_MEMORY,,2,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #2,False,13,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
86,random_04,1245811775015664,FP_MEMORY,,7,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #7,False,20,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
87,random_04,1214301775622904,FP_MEMORY,,101,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #101,False,36,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
88,random_04,1866661775098621,FP_MEMORY,,2,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #2,False,17,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
89,random_04,1866851775062800,FP_MEMORY,,6,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #6,False,28,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
90,random_04,1648901775057795,FP_MEMORY,,8,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #8,False,22,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
91,random_04,1821221775166354,FP_MEMORY,,2,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #2,False,27,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
92,random_04,716151776523235,FP_MEMORY,,3,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #3,False,27,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
93,random_04,1821231775089655,FP_MEMORY,,4,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #4,False,84,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
94,random_04,716131775294644,FP_MEMORY,,16,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #16,False,21,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
95,random_04,1848401776375047,FP_MEMORY,,2,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #2,False,20,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
96,random_04,1808751775132978,FP_MEMORY,,32,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #32,False,53,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
97,random_04,1808751775132978,FP_MEMORY,,35,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #35,False,20,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
98,random_04,1866991775055199,FP_MEMORY,,60,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #60,False,16,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
99,random_04,1808781775175012,FP_MEMORY,,3,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #3,False,18,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
100,random_04,1808781775175012,FP_MEMORY,,56,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #56,False,22,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
101,random_04,1867461776487856,FP_MEMORY,,263,,,CAMBIO_CONFIRMADO en frame #267,CAMBIO_CONFIRMADO en frame #263,False,31,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
102,random_04,1808771775153637,FP_MEMORY,,18,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #18,False,53,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
103,random_04,712671775294963,FP_MEMORY,,47,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #47,False,26,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
104,random_04,716671775460854,FP_MEMORY,,51,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #51,False,136,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
105,random_04,1792431775157755,FP_MEMORY,,6,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #6,False,22,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
106,random_04,1888041775054341,FP_MEMORY,,14,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #14,False,56,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
107,random_04,716721775048243,FP_MEMORY,,72,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #72,False,59,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
108,random_04,1866471775409751,FP_MEMORY,,4,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #4,False,15,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
109,random_04,717021775128218,FP_MEMORY,,2,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #2,False,16,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
110,random_04,1661531775014601,FP_MEMORY,,5,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #5,False,30,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
111,random_04,1820971775041267,FP_MEMORY,,8,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #8,False,41,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
