frame_idx,prev_identity,new_identity,new_run_len,gt_suspect,reason,trip_id
9,Identity_1,Identity_2,57,False,clean_transition,1066271784354910
36,Identity_3,Identity_2,7,True,embeddings_contradict_label(dist=0.229),1066451784361540
43,Identity_2,Identity_3,65,True,embeddings_contradict_label(dist=0.195),1066451784361540
34,Identity_1,Identity_3,8,True,embeddings_contradict_label(dist=0.168),1214401784407780
166,Identity_1,Identity_3,23,False,clean_transition,1214051784411800
208,Identity_3,Identity_1,5,False,clean_transition,1214051784411800
4,Identity_1,Identity_9,2,False,clean_transition,1214291784421310
13,Identity_9,Identity_11,4,False,clean_transition,1214291784421310
155,Identity_1,Identity_2,21,False,clean_transition,1218891784475080
74,Identity_2,Identity_3,49,False,clean_transition,1052681784504990
9,Identity_1,Identity_3,34,False,clean_transition,1211591784531990
38,Identity_1,Identity_2,3,False,clean_transition,1211301784553850
119,Identity_1,Identity_2,6,True,embeddings_contradict_label(dist=0.434),1066271784563270
125,Identity_2,Identity_1,81,True,embeddings_contradict_label(dist=0.079),1066271784563270
32,Identity_1,Identity_3,15,False,clean_transition,1211311784606480
63,Identity_1,Identity_2,2,True,embeddings_contradict_label(dist=0.323),1052531784655120
2,Identity_1,Identity_2,45,True,embeddings_contradict_label(dist=0.279),1211501784660270
82,Identity_1,Identity_2,2,True,embeddings_contradict_label(dist=0.453),1052531784682480
2,Identity_4,Identity_5,3,False,clean_transition,1214211784696010
5,Identity_5,Identity_4,10,False,clean_transition,1214211784696010
27,Identity_1,Identity_3,44,False,clean_transition,1062841784698540
16,Identity_1,Identity_2,63,False,clean_transition,1065641784761550
10,Identity_1,Identity_3,16,False,clean_transition,1062851784767290
60,Identity_2,Identity_3,78,False,clean_transition,1065641784796930
46,Identity_1,Identity_2,23,False,clean_transition,1052671784811920
